web-scraper-order,web-scraper-start-url,Pagination,Vehicle Link ,Vehicle Link -href,Vehicle Name ,Vehicle Exterior Color ,Vehicle Interior Color ,Odometer ,Fuel Economy ,Transmission,Drivetrain,Engine,VIN,Stock Number ,Body Style,Price,Notes
"1702073798-40","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2020 Jeep Renegade Trailhawk SUV","https://www.ahbuickgmc.com/used/Jeep/2020-Jeep-Renegade-62f429500a0e0a9966d166e542d2542f.htm","Pre-Owned 2020 Jeep","Jetset Blue Clearcoat","Black","70,523 miles","22/27 MPG City/Hwy","9-Speed 948TE Automatic","4WD","1.3L I4","","BPV9259B","SUV","$16,875","TRAILHAWK!! 4WD!! COLD WEATHER GTRPOUP II !! HEATED STEERING WHEEL!! HEATED FRONT SEATS!! REMOTE VEHICLE STARTER!! BLACK ROOF!! XM-RADIO!! HILL START ASSIST!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX."
"1702073800-41","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2012 Jeep Liberty Sport SUV","https://www.ahbuickgmc.com/used/Jeep/2012-Jeep-Liberty-24764f1c0a0e0a99730097214e583afd.htm","Pre-Owned 2012 Jeep","Bright Silver Metallic Clearcoat","Dark Slate Gray Interior","35,145 miles","15/21 MPG City/Hwy","4-Speed Automatic VLP","4WD","PowerTech 3.7L V6","","K240072A","SUV","$13,932","Dealerrater Dealer of the Year!!! JD Power Award Winning for back to back years!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
CARFAX One-Owner.
2012 Jeep Liberty Sport Bright Silver Metallic Clearcoat 4WD PowerTech 3.7L V6

18"" x 7.0"" Aluminum Chrome Clad Wheels, 6 Speakers, ABS brakes, Air Conditioning, AM/FM radio: SIRIUS, Audio Jack Input for Mobile Devices, Black Side Roof Rails, BluetoothÂ® Streaming Audio, Brake assist, Cargo Compartment Cover, CD player, Chrome Bodyside Molding, Chrome License Plate Brow & Pocket, Deep Tint Sunscreen Glass, Electronic Stability Control, Fog Lamps, Front Bucket Seats, Front Center Armrest, Heated Front Seats, Latitude Badge, Latitude Group, Leather Trimmed Bucket Seats, Leather Wrapped Steering Wheel, Manual Driver Lumbar Adjust, Memory Package, Overhead Console, Panic alarm, ParkSense Rear Park Assist System, Power 6-Way Driver 2-Way Passenger Seats, Power Front Windows w/1-Touch Up & Down, Power steering, Power windows, Quick Order Package 28L Latitude (DISC), Radio data system, Radio: Media Center 130 CD/MP3, Rear window defroster, Rear-View Auto-Dimming Mirror w/Microphone, Remote keyless entry, Security Alarm, Speed control, Temperature & Compass Gauge, Uconnect Voice Command w/Bluetooth, Universal Garage Door Opener."
"1702073802-42","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2021 Jeep Grand Cherokee L Limited SUV","https://www.ahbuickgmc.com/used/Jeep/2021-Jeep-Grand+Cherokee+L-6c8b259f0a0e0a922ebfa617cdc1a6a1.htm","Pre-Owned 2021 Jeep","Silver Zynith","Global Black","37,548 miles","18/25 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","B8979B","SUV","$33,475","1-OWNER!! LIMITED!! REMOTE VEHCILE STARTER!! 4WD!! NAVIGATION!! 20'' POLSIHED ALLOY WHEELS!! POWER LIFTGATE!! BLIND SPOT ALERT!! FRONT AND REAR PARKING ASSIST!! HILL-START ASSIST!! 2ND ROW BUCKETS!! APPLE CARPLAY!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! CARFAX One-Owner."
"1702073806-43","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2021 Jeep Grand Cherokee L Limited SUV","https://www.ahbuickgmc.com/used/Jeep/2021-Jeep-Grand+Cherokee+L-29890fac0a0e0a997300972148954b52.htm","Pre-Owned 2021 Jeep","Silver Zynith","Global Black","16,413 miles","18/25 MPG City/Hwy","8-Speed Automatic","4x4","V-6 cyl","","W174099A","SUV","$39,483","**ONE OWNER VEHICLE**
**ACCIDENT FREE CARFAX**
**3.6L V6**
**PANORAMIC SUNROOF**
**20-INCH WHEELS**
**NAVIGATION SYSTEM**
**BLUETOOTH**
**APPLE CARPLAY**
**ANDROID AUTO**
**3RD ROW SEATING**
**BACK-UP CAMERA**
**POWER LIFTGATE**
**REMOTE START**
**BLIND SPOT AND CROSS-PATH DETECTION**
**HEATED SEATS**
**HEATED STEERING WHEEL**
**2ND ROW BUCKET SEATS**
**2ND AND 3RD ROW USB PORTS**
**4WD**

******* 2021 Grand Cherokee L Limited - V6 Economical Power - Offered in Silver Zynith Metallic over Global Black Premium Leather Interior - 4 Wheel Drive and Loaded with Power Glass Panoramic Moonroof - Navigation System with Back Up Camera - Heated Front Seats - Heated Steering Wheel - 3rd Row Seating - Apple Car Play and Android Auto - Power Rear Tailgate - USB Charge Ports - Alpine Premium Audio System - Balance of the Manufacturer Warranty - Come by and Save Big $$$ from a new one, This is just right! *********


Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.


** Proudly Serving Wheeling, Buffalo Grove, Arlington Heights, Palatine, Deerfield, Northbrook, Long Grove, Prospect Heights and all of Chicago since 1950! ONLY 20 minutes from O'hare International Airport, 30 minutes from Downtown Chicago and the Wisconsin border !!"
"1702073809-44","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2022 Jeep Grand Cherokee L Laredo SUV","https://www.ahbuickgmc.com/used/Jeep/2022-Jeep-Grand+Cherokee+L-46f2d3a80a0e087f42924702361b0a1d.htm","Pre-Owned 2022 Jeep","Baltic Gray Metallic Clearcoat","Global Black","6,210 miles","18/25 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","BPWU343","SUV","$36,975","LARADO L!! 1-OWNER!! 4WD!! REMOTE VEHICLE STARTER!! XM-RADIO!! 2ND ROW DUAL USB PORTS!! HEATED FRONT SEATING!! HEATED STEERING WHEEL!! POWER LIFTGATE!! 3RD ROW SEATING!! LEATHER WRAPPED STEERING WHEEL W/AUDIO CONTROLS!! ADAPTIVE CRUISE CONTROL!! HILL-START ASSIST!! BACKUP-CAMERA!! APPLE CARPLAY & ANDROID AUTO!!  Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! CARFAX One-Owner."
"1702073811-45","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2021 Jeep Grand Cherokee Trailhawk SUV","https://www.ahbuickgmc.com/used/Jeep/2021-Jeep-Grand+Cherokee-1a12e3c60a0e0a9237d512a33cc707aa.htm","Pre-Owned 2021 Jeep","Green Metallic Clearcoat","Black","63,981 miles","18/25 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","P23694","SUV","$30,991","Dealerrater Dealer of the Year!!! JD Power Award Winning for back to back years!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
CARFAX One-Owner.
2021 Jeep Grand Cherokee Trailhawk Green Metallic Clearcoat 4WD 3.6L V6 24V VVT

10 Speakers, 1-Year SiriusXM Guardian Trial, 4G LTE Wi-Fi Hot Spot, 8.4"" Touchscreen Display, ABS brakes, Air Conditioning, AM/FM radio: SiriusXM, Apple CarPlay, Audio memory, Automatic temperature control, Brake assist, Electronic Stability Control, Front Bucket Seats, Front dual zone A/C, Google Android Auto, GPS Antenna Input, GPS Navigation, HD Radio, Heated front seats, Heated rear seats, Integrated Voice Command w/Bluetooth, Memory seat, Navigation System, ParkView Rear Back-Up Camera, Power driver seat, Power Liftgate, Power moonroof, Power steering, Power windows, Quick Order Package 2BJ, Radio data system, Radio: Uconnect 4C Nav w/8.4"" Display, Rear window defroster, Remote keyless entry, SiriusXM Satellite Radio, SiriusXM Traffic Plus, SiriusXM Travel Link, Speed control, Speed-sensing steering, Steering wheel mounted audio controls, Traction control, Wheels: 18"" x 8.0"" Off Road Aluminum.


Priced below KBB Fair Purchase Price!"
"1702073813-46","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2020 Jeep Grand Cherokee Overland SUV","https://www.ahbuickgmc.com/used/Jeep/2020-Jeep-Grand+Cherokee-45d257390a0e087f429247026886ab6b.htm","Pre-Owned 2020 Jeep","Granite Crystal Metallic Clearcoat","Black","60,084 miles","18/25 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","BPWP674A","SUV","$28,875","OVERLAND!! 4WD!! DUAL PANEL PANORAMIC SUNROOF!! POWER LIFTGATE!! HID HEADLAMPS!! XM-RADIO!! 4G LTE WI-FI!! REMOTE VEHCILE STARTER!! 8.4'' COLOR TOUCHSCREEN RADIO!! APPLE CARPLAY & ANDROID AUTO!! HEATED & COOLED FRONT SEATING!! HEATED STEERING WHEEL!! POWER LIFT-GATE!! CARFAX 1-OWNER!! NO ACCIDENTS!! Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX. CARFAX One-Owner."
"1702073816-47","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2020 Jeep Grand Cherokee Limited SUV","https://www.ahbuickgmc.com/used/Jeep/2020-Jeep-Grand+Cherokee-97c18fd80a0e081d2dd733af3d37f303.htm","Pre-Owned 2020 Jeep","Diamond Black Crystal Pearlcoat","Black","47,867 miles","18/25 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","BPJ50569A","SUV","$25,975","LIMITED!! 4WD!! 1-OWNER!! POWER GLASS SUNROOF!! BLIND-SPOT AND CROSS -PATH DETECTION!! REMOTE VEHICLE STARTER!! POWER LIFTGATE!! HILL START ASSIST!! 8.4'' COLOR TOUCG=HSCREEN RADIO!! HEATED FRONT SEATS!! HEATED STEERING WHEEL!! FRONT GOG LAMPS!!  Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Priced below KBB Fair Purchase Price! Clean CARFAX. CARFAX One-Owner."
"1702073819-48","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2019 Jeep Grand Cherokee Laredo SUV","https://www.ahbuickgmc.com/used/Jeep/2019-Jeep-Grand+Cherokee-86408b3a0a0e0a923270a51aa66b2935.htm","Pre-Owned 2019 Jeep","Bright White","Black","34,310 miles","18/25 MPG City/Hwy","8-Speed Automatic","4x4","V-6 cyl","","WUCA366A","SUV","$25,000","**ONE OWNER**
**ACCIDENT FREE CARFAX**
**4WD**
**BACK-UP CAMERA**
**BLIND-SPOT AND CROSS-PATH DETECTION**
**APPLE CARPLAY**
**BLUETOOTH**

********  Rare Opportunity at a Grand Cherokee Laredo E - Very Low Miles on this Affordable 4 Wheel Drive Jeep - V6 Powered, Inspected and Serviced - Equipped with Power Suite - Center Dash Screen with Back Up Camera - Digital Compass - Very Well Taken Care of - This Family SUV is ready for Test Drives - Come over and Drive it Home Today! - At Tasca Chevrolet, You will be Satisfied! *******

Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.

Recent Arrival! Bright White Clearcoat 2019 Jeep Grand Cherokee 3.6L V6 24V VVT 8-Speed Automatic 4WD

4WD.


** Proudly Serving Wheeling, Buffalo Grove, Arlington Heights, Palatine, Deerfield, Northbrook, Long Grove, Prospect Heights and all of Chicago since 1950! ONLY 20 minutes from O'hare International Airport, 30 minutes from Downtown Chicago and the Wisconsin border !!"
"1702073822-49","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2021 Jeep Gladiator Rubicon Truck","https://www.ahbuickgmc.com/used/Jeep/2021-Jeep-Gladiator-9e2667f40a0e094a77320f085858b110.htm","Pre-Owned 2021 Jeep","Black Clearcoat","Black","29,533 miles","16/23 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","B230770A","Truck","$41,896","Dealerrater Dealer of the Year!!! JD Power Award Winning for back to back years!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
CARFAX One-Owner.
2021 Jeep Gladiator Rubicon Black Clearcoat 4WD 3.6L V6 24V VVT

1-Year SiriusXM Guardian Trial, 240 Amp Alternator, 5-Year SiriusXM Traffic Service, 5-Year SiriusXM Travel Link Service, 8 Speakers, 8.4"" Radio & Premium Audio Group, 8.4"" Touchscreen Display, ABS brakes, Air Conditioning, Alpine Premium Audio System, AM/FM radio: SiriusXM, Auto-Dimming Rear-View Mirror, Automatic temperature control, Brake assist, Class IV Hitch Receiver, Cold Weather Group, Daytime Running Lamps LED Accents, Electronic Stability Control, Emergency/Assistance Call, For Details, Visit DriveUconnect.com, Front dual zone A/C, Front LED Fog Lamps, GPS Navigation, GVWR: 6,250 lbs w/Max Tow Package, HD Radio, Heated Front Seats, Heated Steering Wheel, Heavy-Duty Engine Cooling, LED Lighting Group, LED Park Turn Lamps, LED Premium Reflector Headlamps, LED Taillamps, ParkView Rear Back-Up Camera, Performance Suspension, Power steering, Power windows, Quick Order Package 24R, Radio data system, Radio: Uconnect 4 w/7"" Display, Radio: Uconnect 4C Nav w/8.4"" Display, Rear Window Defroster, Remote keyless entry, SiriusXM Traffic Plus, SiriusXM Travel Link, Speed control, Steering wheel mounted audio controls, Traction control, Trailer Hitch Zoom, Trailer Tow Package, Wheels: 17"" x 7.5"" Polished Black Aluminum.


Awards:
  * JD Power Initial Quality Study (IQS)"
"1702073824-50","https://www.ahbuickgmc.com/used-inventory/index.htm?status=1-1","https://www.ahbuickgmc.com/used-inventory/index.htm?start=180","2021 Jeep Gladiator High Altitude Truck","https://www.ahbuickgmc.com/used/Jeep/2021-Jeep-Gladiator-835dbf760a0e081d455631da2ce6da7e.htm","Pre-Owned 2021 Jeep","Bright White Clearcoat","Black","19,460 miles","16/23 MPG City/Hwy","8-Speed Automatic","4WD","3.6L V6 24V VVT","","BP2638","Truck","$43,875","HIGH ALTITUDE!! 3.6L V6!! 4WD!! 20'' GLOSS BLACK WHEELS!! BODY COLOR 3-PIECE FREEDOM HARD TOP!! 8.4'' COLOR TOUCHSCREEN RADIO W/NAVIGATION!! PREMIUM NAPPA HEATED & COOLED LEATHER SEATING!! ALPINE PREMIUM SOUND SYSTEM!! REMOTE VEHICLE STARTER!! REAR PARKING ASSIST!! BLIND SPOT DETECTION!! BODY COLOR FRONT & REAR BUMPERS!! TRAILER-TOW PACKAGE!! HEATED STEERING WHEEL!! TRAC-LOK ANTI-SPIN REAR DIFFERENTIAL!!  Dealerrater Dealer of the Year!!! Although every reasonable effort has been made to ensure the accuracy of the information contained on this site, absolute accuracy cannot be guaranteed. Specifications, features, safety and warranty data are based on what is available as standard specs/features per trim level, for the designated model-year, and may not apply to vehicles with added packages or options. See dealer for written warranty information. Dealer makes no guarantees or warranties, either expressly or implied, with respect to the accuracy of any data listed on this page which was obtained from third party sources. All vehicles are subject to prior sale. Prices include all eligible factory rebates to dealer. Prices do not include upfits, plows, or other accessories. Price does not include applicable tax, title, license, processing and/or documentation fees, and any emissions testing charges. Doc fees vary by state (Rhode Island $399, Massachusetts $399, Connecticut $599, New York $175, Illinois $324.24, Florida $995 doc fee and $169 electronic filing fee, Pennsylvania $422, Missouri $499.99). Price and availability subject to change. Manufacturer's Suggested Retail Price (MSRP) is listed for customer information and customer comparison purposes only, and the actual sales price may vary depending on changing market conditions and other factors. Any information contained on this page should be used for informational purposes only. All vehicles may not be physically located at this dealership but may be available for delivery through this location. Please contact the dealership for more specific information. You Will Be Satisfied.
Recent Arrival! Clean CARFAX."
